date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:33:02	52455/52455	---M-Z	200	added ('OK')	text/html	date:Wed,%2030%20Jun%202021%2016:22:34%20GMT	http://www.scrapbuyerss.com/Centering-Span-Manufacturer.html	C:/My%20Web%20Sites/Test%20Site/www.scrapbuyerss.com/Centering-Span-Manufacturer.html	(from http://www.scrapbuyerss.com/)
20:33:02	48346/48346	---M-Z	200	added ('OK')	text/html	date:Wed,%2030%20Jun%202021%2016:22:34%20GMT	http://www.scrapbuyerss.com/Centering-Jack-Pipe-Manufacturer.html	C:/My%20Web%20Sites/Test%20Site/www.scrapbuyerss.com/Centering-Jack-Pipe-Manufacturer.html	(from http://www.scrapbuyerss.com/)
20:33:02	77368/77368	---M-Z	200	added ('OK')	text/html	date:Wed,%2030%20Jun%202021%2016:22:34%20GMT	http://www.scrapbuyerss.com/Scaffolding-Manufacturer.html	C:/My%20Web%20Sites/Test%20Site/www.scrapbuyerss.com/Scaffolding-Manufacturer.html	(from http://www.scrapbuyerss.com/)
20:33:03	67260/67260	---M-Z	200	added ('OK')	text/html	date:Wed,%2030%20Jun%202021%2016:21:32%20GMT	http://www.scrapbuyerss.com/We-Buy.html	C:/My%20Web%20Sites/Test%20Site/www.scrapbuyerss.com/We-Buy.html	(from http://www.scrapbuyerss.com/)
20:33:04	75173/75173	---M-Z	200	added ('OK')	text/html	date:Wed,%2030%20Jun%202021%2016:22:34%20GMT	http://www.scrapbuyerss.com/Aluminium-Scrap-Buyer.html	C:/My%20Web%20Sites/Test%20Site/www.scrapbuyerss.com/Aluminium-Scrap-Buyer.html	(from http://www.scrapbuyerss.com/)
20:33:04	72612/72612	---M-Z	200	added ('OK')	text/html	date:Wed,%2030%20Jun%202021%2016:22:34%20GMT	http://www.scrapbuyerss.com/Battery-Scrap-Buyer.html	C:/My%20Web%20Sites/Test%20Site/www.scrapbuyerss.com/Battery-Scrap-Buyer.html	(from http://www.scrapbuyerss.com/)
20:33:05	70055/70055	---M-Z	200	added ('OK')	text/html	date:Wed,%2030%20Jun%202021%2016:22:34%20GMT	http://www.scrapbuyerss.com/Brass-Scrap-Buyer.html	C:/My%20Web%20Sites/Test%20Site/www.scrapbuyerss.com/Brass-Scrap-Buyer.html	(from http://www.scrapbuyerss.com/)
20:33:05	73664/73664	---M-Z	200	added ('OK')	text/html	date:Wed,%2030%20Jun%202021%2016:22:34%20GMT	http://www.scrapbuyerss.com/Computer-Scrap-Buyer.html	C:/My%20Web%20Sites/Test%20Site/www.scrapbuyerss.com/Computer-Scrap-Buyer.html	(from http://www.scrapbuyerss.com/)
20:33:06	71106/71106	---M-Z	200	added ('OK')	text/html	date:Wed,%2030%20Jun%202021%2016:22:34%20GMT	http://www.scrapbuyerss.com/Copper-Scrap-Buyer.html	C:/My%20Web%20Sites/Test%20Site/www.scrapbuyerss.com/Copper-Scrap-Buyer.html	(from http://www.scrapbuyerss.com/)
20:33:07	81352/81352	---M-Z	200	added ('OK')	text/html	date:Wed,%2030%20Jun%202021%2016:22:34%20GMT	http://www.scrapbuyerss.com/Demolishing-Work-Buyer.html	C:/My%20Web%20Sites/Test%20Site/www.scrapbuyerss.com/Demolishing-Work-Buyer.html	(from http://www.scrapbuyerss.com/)
20:33:07	68562/68562	---M-Z	200	added ('OK')	text/html	date:Wed,%2030%20Jun%202021%2016:22:34%20GMT	http://www.scrapbuyerss.com/DG-Set-Buyer.html	C:/My%20Web%20Sites/Test%20Site/www.scrapbuyerss.com/DG-Set-Buyer.html	(from http://www.scrapbuyerss.com/)
